PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	1st_Type	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	KinshipCoefficient_95percCI[min,max]
ORT15,ORT27	Unrelated	NA	13.048996474401168	0.9842127905556513	0.24282496039081067	0.001474058039267355	N/A	0.8353658536585366	242368	59797.028208476855	0.01578720944434875	0.9725025360706535,0.995923045040649
ORT15,ORT3	Unrelated	NA	15.574520046987644	0.9972460874644934	0.24604053514864788	0.0014414924407023322	N/A	0.8963414634146342	245614	60597.881264840384	0.0027539125355066085	0.9857945415489643,1.0086976333800224
ORT15,ORT4	Unrelated	NA	15.944283859583779	1.0086774373680332	0.2488608775727424	0.001584950165334915	N/A	0.8841463414634146	167234	41259.969201447464	-0.00867743736803317	0.9960862304496569,1.0212686442864094
ORT15,ORT5	Unrelated	NA	17.49301119313513	1.0238967367075635	0.2526157828074233	0.0016592798263037648	N/A	0.9085365853658537	145272	35841.504992003276	-0.023896736707563537	1.0107150379479288,1.0370784354671982
ORT15,ORT6	Unrelated	NA	16.116862019207687	0.9974264212450555	0.2460850270954528	0.0013957459482680618	N/A	0.8902439024390244	281228	69384.56664664282	0.002573578754944461	0.9863382959370811,1.00851454655303
ORT15,ORT7	Unrelated	NA	14.178010092159445	0.9922173541293072	0.24479984615877695	0.0014959690243948921	N/A	0.8719512195121951	218407	53885.37075822223	0.007782645870692773	0.9803330337628955,1.004101674495719
ORT15,ORT8	Unrelated	NA	16.38206993860643	1.0016803666717975	0.24713456042774176	0.0014372163153148132	N/A	0.9024390243902439	260344	64232.0665760649	-0.0016803666717974952	0.9902627912751786,1.0130979420684163
ORT15,ORT9	Unrelated	NA	15.84750532368157	1.000429653574911	0.24682598451699764	0.001466224608167627	N/A	0.9024390243902439	222825	54975.37963160918	-0.000429653574911093	0.9887816296596906,1.0120776774901314
ORT16,ORT18	Unrelated	NA	14.31874605446425	0.9957770956011363	0.24567810550491936	0.0015426017884215884	N/A	0.8597560975609756	193318	47695.41317008156	0.004222904398863747	0.9835223138827666,1.008031877319506
ORT16,ORT2	Unrelated	NA	15.721023106947577	1.0145550411191662	0.25031099985499394	0.0016996996594857052	N/A	0.8719512195121951	131029	32327.472311231326	-0.014555041119166168	1.0010522379523827,1.0280578442859496
